,open,close,high,low,volume,money
2014-06-03,2157.64,2149.92,2168.99,2149.29,4198295400.0,37906226058.0
2014-06-04,2149.41,2128.27,2149.45,2117.31,4181724900.0,35607022812.0
2014-06-05,2126.61,2150.6,2150.93,2123.52,3647742400.0,33050774675.0
2014-06-06,2149.21,2134.72,2149.78,2123.98,3573805800.0,32415599488.0
2014-06-09,2128.22,2134.28,2153.9,2126.66,3931106000.0,35326732064.0
2014-06-10,2138.67,2161.27,2161.53,2132.45,5050790200.0,44416141206.0
2014-06-11,2156.15,2160.77,2163.61,2152.08,4256371800.0,37311080748.0
2014-06-12,2156.76,2153.41,2160.99,2148.41,4302584300.0,37252041741.0
2014-06-13,2150.99,2176.24,2183.64,2150.57,5925287600.0,51765511450.0
2014-06-16,2176.44,2191.86,2196.34,2174.28,6329687500.0,56904298384.0
2014-06-17,2185.68,2169.67,2185.68,2168.45,4993366500.0,46244977817.0
2014-06-18,2169.25,2160.24,2172.55,2158.5,4946389700.0,42538095511.0
2014-06-19,2161.43,2126.91,2166.41,2119.5,5316264500.0,46029744918.0
2014-06-20,2124.96,2136.73,2137.03,2120.81,4239371900.0,35425712925.0
2014-06-23,2137.93,2134.11,2147.23,2132.45,4117925800.0,37112428752.0
2014-06-24,2131.69,2144.82,2145.21,2130.29,4016435600.0,38778505304.0
2014-06-25,2141.73,2133.37,2141.73,2126.03,3766610000.0,33809315524.0
2014-06-26,2135.16,2149.08,2151.11,2134.89,4435116600.0,40601836632.0
2014-06-27,2146.37,2150.26,2159.53,2138.93,5272289600.0,45525673947.0
2014-06-30,2152.31,2165.12,2168.22,2152.31,5430418800.0,50277570814.0
2014-07-01,2169.2,2164.56,2171.15,2157.13,5332310000.0,49936284309.0
2014-07-02,2164.0,2170.87,2171.51,2155.61,5968550100.0,53273658927.0
2014-07-03,2169.0,2180.19,2184.96,2164.84,6369069000.0,56024939299.0
2014-07-04,2180.45,2178.7,2183.8,2174.07,5285110600.0,47990033413.0
2014-07-07,2178.55,2176.29,2186.2,2171.08,5024233400.0,47663876919.0
2014-07-08,2174.83,2180.47,2180.78,2163.36,5074359900.0,46017266874.0
2014-07-09,2178.14,2148.71,2178.51,2148.26,6202204600.0,58980248398.0
2014-07-10,2146.6,2142.85,2151.77,2139.52,5573249700.0,50931668887.0
2014-07-11,2136.32,2148.01,2154.74,2134.8,6137427400.0,51551825645.0
2014-07-14,2149.54,2171.76,2171.9,2145.28,6615886300.0,60467088864.0
2014-07-15,2170.09,2174.98,2176.27,2165.21,7181569400.0,64304875149.0
2014-07-16,2172.82,2170.87,2183.25,2166.77,8156023000.0,61126054498.0
2014-07-17,2166.83,2157.07,2166.93,2147.08,5945356800.0,46354646289.0
2014-07-18,2147.66,2164.14,2176.32,2145.45,6547329500.0,53758919136.0
2014-07-21,2164.22,2166.3,2171.94,2158.95,5417226000.0,47731629577.0
2014-07-22,2162.44,2192.7,2197.59,2162.24,7854258300.0,66806114430.0
2014-07-23,2191.39,2197.83,2210.28,2190.55,8421387200.0,69177998063.0
2014-07-24,2199.83,2237.01,2239.82,2199.83,11943553400.0,99964367602.0
2014-07-25,2243.07,2260.45,2260.89,2239.07,9897283800.0,81994560081.0
2014-07-28,2272.38,2323.9,2331.47,2272.38,17986933300.0,145277424291.0
2014-07-29,2326.04,2331.37,2342.77,2316.22,13426964100.0,112176546316.0
2014-07-30,2324.69,2322.01,2339.04,2316.06,12302283200.0,103362308865.0
2014-07-31,2321.97,2350.25,2350.55,2316.59,11098776900.0,93135566963.0
2014-08-01,2341.23,2329.4,2371.5,2328.97,12631739000.0,106125190266.0
2014-08-04,2336.63,2375.62,2375.62,2332.14,11671375400.0,101301888277.0
2014-08-05,2376.8,2369.35,2380.77,2353.8,11186178900.0,97906971246.0
2014-08-06,2358.21,2363.22,2371.67,2334.33,11634182900.0,96681298733.0
2014-08-07,2363.61,2327.46,2369.2,2326.27,11672921000.0,94254453994.0
2014-08-08,2329.18,2331.13,2339.27,2319.29,8673969400.0,72605666133.0
2014-08-11,2338.01,2365.35,2367.0,2337.01,9160117100.0,82973900360.0
2014-08-12,2361.17,2357.05,2361.17,2344.72,9182260800.0,82973769642.0
2014-08-13,2358.46,2358.9,2370.51,2335.69,11044778900.0,94185266458.0
2014-08-14,2357.2,2335.95,2363.18,2334.08,9796949300.0,84251435869.0
2014-08-15,2337.99,2360.64,2366.9,2333.12,9359254600.0,81888217001.0
2014-08-18,2366.27,2374.56,2379.8,2361.2,10450955400.0,90148909855.0
2014-08-19,2378.89,2374.77,2379.47,2358.97,11585002000.0,102742759960.0
2014-08-20,2371.65,2366.14,2375.47,2360.84,10128808800.0,91374802730.0
2014-08-21,2365.73,2354.24,2367.46,2333.3,10069021100.0,92192063269.0
2014-08-22,2352.32,2365.36,2368.46,2350.99,8982393800.0,85642463757.0
2014-08-25,2367.02,2342.86,2367.61,2338.45,9737371700.0,85182493960.0
2014-08-26,2339.6,2324.09,2350.39,2317.18,9384422200.0,83135033150.0
2014-08-27,2323.79,2327.59,2336.74,2322.89,6767622100.0,62448675179.0
2014-08-28,2328.06,2311.28,2336.36,2309.64,7049065500.0,66195966855.0
2014-08-29,2317.3,2338.29,2338.77,2313.26,6321142300.0,58359967752.0
2014-09-01,2340.93,2355.32,2355.55,2338.53,7732087000.0,73362240553.0
2014-09-02,2359.86,2386.46,2387.66,2349.95,11443673300.0,106925790139.0
2014-09-03,2389.69,2408.84,2414.26,2389.68,12973420400.0,123629189433.0
2014-09-04,2411.93,2426.22,2427.3,2404.08,11127229800.0,108294703239.0
2014-09-05,2433.17,2449.26,2450.63,2427.99,13355176400.0,123349320057.0
2014-09-09,2452.23,2445.22,2454.89,2437.08,11819434400.0,107795213548.0
2014-09-10,2435.59,2432.43,2437.08,2422.65,10917551700.0,97472682969.0
2014-09-11,2430.68,2423.45,2461.47,2417.27,13298258300.0,127203381658.0
2014-09-12,2418.75,2438.36,2438.36,2412.62,10916017000.0,96625765409.0
2014-09-15,2433.0,2437.19,2439.25,2418.96,12224715900.0,112507690398.0
2014-09-16,2440.34,2388.76,2442.92,2386.98,18674279100.0,147250169859.0
2014-09-17,2395.36,2401.33,2405.37,2379.09,12526902800.0,98039470145.0
2014-09-18,2396.38,2408.66,2414.95,2389.62,11592637600.0,92105332013.0
2014-09-19,2409.31,2425.21,2430.15,2402.31,10181357700.0,88221038707.0
2014-09-22,2419.33,2378.92,2419.33,2374.11,10224087000.0,88958056522.0
2014-09-23,2379.52,2399.46,2402.48,2379.52,8403334100.0,75463683722.0
2014-09-24,2391.42,2441.86,2443.98,2387.07,14271353000.0,120389934642.0
2014-09-25,2453.42,2436.97,2462.67,2429.59,13866189100.0,119612625726.0
2014-09-26,2430.81,2437.2,2439.65,2420.5,10029949400.0,87757377938.0
2014-09-29,2443.91,2447.8,2453.66,2435.61,12340172700.0,111463779824.0
2014-09-30,2452.17,2450.99,2454.89,2444.2,11580422900.0,101906558841.0
2014-10-08,2460.87,2478.38,2478.38,2445.27,12195360400.0,116500107810.0
2014-10-09,2480.2,2481.95,2488.11,2461.11,13792392000.0,120752628433.0
2014-10-10,2472.1,2466.79,2482.14,2457.68,14763430700.0,121924973049.0
2014-10-13,2457.41,2454.95,2460.39,2430.55,13159336200.0,112784478808.0
2014-10-14,2451.09,2446.56,2467.9,2436.34,12739370500.0,106356643094.0
2014-10-15,2444.54,2463.87,2465.5,2431.19,13580188200.0,114837290107.0
2014-10-16,2448.97,2444.39,2480.3,2441.82,15816660300.0,128340525473.0
2014-10-17,2443.22,2441.73,2456.11,2410.4,13275998800.0,112685625525.0
2014-10-20,2448.45,2454.71,2456.62,2441.9,9143540100.0,84843604900.0
2014-10-21,2453.41,2433.39,2459.26,2432.55,9624191200.0,86622201933.0
2014-10-22,2434.89,2418.64,2447.47,2417.56,8865619300.0,82251744245.0
2014-10-23,2415.44,2395.94,2424.66,2392.53,10349183900.0,86045452830.0
2014-10-24,2397.85,2390.71,2404.99,2385.72,7497486900.0,65601225156.0
2014-10-27,2377.54,2368.83,2377.54,2361.68,7386244700.0,65956480803.0
2014-10-28,2373.16,2416.65,2416.77,2373.16,10152305500.0,90529903107.0
2014-10-29,2423.81,2451.38,2461.27,2415.7,15858406200.0,134541723619.0
2014-10-30,2450.36,2468.93,2474.38,2443.76,18962635300.0,139157358014.0
2014-10-31,2473.5,2508.32,2512.19,2466.5,23917241200.0,181604617039.0
2014-11-03,2515.82,2512.55,2524.17,2502.06,20580122800.0,151406835108.0
2014-11-04,2511.04,2513.17,2517.46,2498.61,21824700500.0,155291882550.0
2014-11-05,2516.87,2503.45,2519.4,2499.23,19049186200.0,146130895120.0
2014-11-06,2505.17,2506.07,2510.99,2482.98,14965111700.0,118839203631.0
2014-11-07,2508.76,2502.15,2541.55,2489.42,20876091100.0,176868665325.0
2014-11-10,2529.83,2565.73,2565.73,2514.71,22659973500.0,187612569248.0
2014-11-11,2578.44,2558.61,2602.37,2532.57,32371165600.0,265840509803.0
2014-11-12,2545.4,2594.32,2594.32,2539.6,18468626100.0,157847382809.0
2014-11-13,2597.39,2579.75,2607.52,2567.46,21981561500.0,192985452900.0
2014-11-14,2569.21,2581.09,2581.93,2557.67,16504996500.0,145409933865.0
