,datetime,title,content
0,2019-06-23 23:55:20,,【第八届金交会闭幕，意向签约总额近3500亿元】6月21日至23日，为期三天的第八届中国（广州）国际金融交易·博览会在广州举办。本届金交会上，广东新设机构平台9家，收集48个产融对接项目，意向签约总额近3500亿元，有7个粤港澳大湾区项目是首次集中交换签约文本。深圳证券交易所广州服务基地在本届金交会正式授牌成立，将更好地推动广东省企业上市、发行固定收益产品，支持区域内上市公司做优做强。（界面）
1,2019-06-23 23:35:08,,【科创板发行接二连三！睿创微纳、天准科技将于7月2日网上申购】6月23日晚间，记者获悉，睿创微纳和天准科技即将在上交所披露招股意向书、上市发行安排及初步询价公告等多个文件。公告显示，睿创微纳股票代码为688002，网上申购代码为787002。天准科技股票代码为688003，网上申购代码为787003。睿创微纳、天准科技网上、网下申购时间均为7月2日，将于7月4日公布中签结果。（证券时报）
2,2019-06-23 23:17:27,,【东盟峰会主席声明反对贸易保护主义】第34届东盟峰会23日在泰国首都曼谷闭幕。当天公布的本届东盟峰会主席声明说，东盟反对贸易保护主义，支持维护多边贸易体制。（新华社）
3,2019-06-23 23:14:30,,加拿大皇家银行分析师Rai：尽管日本央行承诺在必要时采取行动，但第一季度GDP增长出现意外反弹，日本央行的政策惯性或将很大程度上随着商业投资复苏而调整。
4,2019-06-23 22:59:45,,【家乐福中国股权变动影响原有合作？国美：正在积极沟通】苏宁易购拟以48亿元收购家乐福中国80%股份，此举会对国美与家乐福中国此前达成的合作产生哪些影响？6月23日晚间，国美向记者表示，我们已经获悉这个消息，正在与家乐福方面积极沟通。（新京报）
5,2019-06-23 22:52:23,,【中国智库报告：G20面临一系列新挑战】中国人民大学重阳金融研究院23日发布研究报告称，当前G20机制正面临一系列新挑战。这些挑战包括以下几个方面。一是G20机制自身性质和组织形式存在固有缺陷，具有临时性、非正式性和不稳定性；二是全球经济低速增长、各国倾向于加紧“多分蛋糕”而不是“做大蛋糕”、科技外溢效应等全球治理新形势给G20机制带来新挑战；三是西方国家重视程度大幅降低。（中国新闻网）
6,2019-06-23 22:32:44,,【科创板保荐业务现场督导启动 首次涉及两家机构】日前，上交所启动了科创板发行上市保荐业务的现场督导工作。据了解，首次督导涉及两家保荐机构，上交所将分别派员前往保荐机构所在地。上交所方面表示，此举主要是为督促保荐机构勤勉尽责，切实承担对保荐项目的核查把关责任，提高科创板公开发行信息披露质量。（中国证券网）
7,2019-06-23 22:15:30,,【全国乘联会秘书长：预计前五月锂电池装车1800万度增1.2倍】全国乘联会秘书长崔东树预计，2019年5月新能源汽车产量11万台，增长29%；电池装机总电量约573万度，同比增长23%；1-5月电池增长到1796万度，同比增长119%。2018年新能源锂电池装车122万台，5867万度，同比2017年增84%。（第一商用车网）
8,2019-06-23 22:08:53,,【比特币接连突破两大整数关口 区块链技术或受关注】北京时间6月22日，比特币价格接连突破10000美元、11000美元大关。Facebook日前发布Libra白皮书，宣布将于2020年上半年推出基于区块链技术的数字货币Libra。国盛证券认为，全球巨头争相布局区块链，以互联网和金融领域为突破口，区块链全面进入应用时代。区块链、AI和5G的不断融合、落地应用，推动互联网商业模式将更加去中心化。公司方面，东港股份、二三四五等涉足区块链相关业务。 (上证资讯)
9,2019-06-23 21:59:51,,【中国移动将启动5G+计划 产业链公司受益】中国移动将于25日召开主题为“5G+共赢未来”的5G+发布会。会上中国移动将正式启动“中国移动5G+计划”，并发布5G标识、5G+硬核能力体系、5G终端先行者升级计划、5G+行业应用等系列内容。（中证资讯）
